"nama","link"
"Bapak Andi Saputra","https://ahmad-munip.github.io/rismamawlina/?to=Bapak+Andi+Saputra"
"Ibu Sari Wulandari","https://ahmad-munip.github.io/rismamawlina/?to=Ibu+Sari+Wulandari"
"Bapak Rudi Hartono","https://ahmad-munip.github.io/rismamawlina/?to=Bapak+Rudi+Hartono"
"Ibu Dewi Lestari","https://ahmad-munip.github.io/rismamawlina/?to=Ibu+Dewi+Lestari"
"Mas Fajar Pratama","https://ahmad-munip.github.io/rismamawlina/?to=Mas+Fajar+Pratama"
"Mbak Nisa Amelia","https://ahmad-munip.github.io/rismamawlina/?to=Mbak+Nisa+Amelia"
"Bapak Hendra Wijaya","https://ahmad-munip.github.io/rismamawlina/?to=Bapak+Hendra+Wijaya"
"Ibu Lina Marlina","https://ahmad-munip.github.io/rismamawlina/?to=Ibu+Lina+Marlina"
"Keluarga Bapak Arman","https://ahmad-munip.github.io/rismamawlina/?to=Keluarga+Bapak+Arman"
"Keluarga Ibu Fitri","https://ahmad-munip.github.io/rismamawlina/?to=Keluarga+Ibu+Fitri"
